time_sec,time_ns,dx,dy,dz,wrist,grip
1763770596,765494832,0.0,0.0,0.0,0.0,0.0
1763770596,768193405,-1.1929449e-06,1.6597495e-06,1.6597494e-05,0.0,0.0
1763770596,964327107,2.208175e-05,-1.2752665e-06,1.3090215e-05,0.0,0.0
1763770597,64219684,-3.26109e-06,-1.8414234e-08,2.1103859e-05,0.0,0.0
1763770597,164006449,-1.8765457e-05,6.088401e-07,2.5436972e-05,0.0,0.0
1763770597,263899287,1.2121441e-07,1.1765641e-06,2.4889598e-05,0.0,0.0
1763770597,363267163,-1.897898e-07,4.5953257e-06,2.8966333e-05,0.0,0.0
1763770597,463620165,7.2412934e-07,5.922838e-06,3.6978377e-05,0.0,0.0
1763770597,563489090,-2.5252962e-07,5.1115276e-06,4.806205e-05,0.0,0.0
1763770597,663221136,-4.3640924e-07,-3.866263e-06,3.949877e-05,0.0,0.0
1763770597,762976713,2.8500594e-06,4.316794e-06,4.9260707e-05,0.0,0.0
1763770597,863056601,-2.1885241e-06,-1.3560029e-06,7.327645e-06,0.0,0.0
1763770597,962861550,-1.1158216e-06,2.705022e-06,2.705022e-05,0.0,0.0
1763770598,62720910,2.7808335e-05,3.6341962e-06,1.2946772e-05,0.0,0.0
1763770598,162771069,-1.4927248e-05,-3.2784246e-07,4.994724e-05,0.0,0.0
1763770598,263069991,-1.2971454e-05,5.3173667e-06,6.0018185e-05,0.0,0.0
1763770598,362853285,-1.4403196e-08,2.2327206e-06,6.2388484e-05,0.0,0.0
1763770598,462849981,6.4667156e-09,3.6343029e-06,5.4469212e-05,0.0,0.0
1763770598,563101036,7.010171e-07,1.5778882e-06,5.8678597e-05,0.0,0.0
1763770598,662991076,-5.4160985e-08,-7.6414295e-07,5.0843166e-05,0.0,0.0
1763770598,763445213,-6.096032e-07,2.9556517e-07,3.9007544e-05,0.0,0.0
1763770598,863318650,-6.318502e-07,4.3954797e-06,3.1530308e-05,0.0,0.0
1763770598,963466683,2.5712317e-05,3.4071297e-06,2.433415e-05,0.3180902,0.0
1763770599,64534881,-2.3888375e-05,-1.2460983e-06,3.675988e-05,4.9937654,0.0
1763770599,163827584,2.4760919e-05,-1.7384647e-08,1.5954316e-05,1.6881443,0.0
1763770599,263344623,-2.5140409e-05,-1.1747082e-06,3.8683203e-05,0.0,0.0
1763770599,364471151,-1.1851149e-06,3.2024712e-07,4.018042e-05,0.0,0.0
1763770599,464298734,1.1141054e-05,1.56555e-07,2.9619127e-05,0.0,0.0
1763770599,563452793,1.9668347e-05,-7.322226e-07,3.661261e-05,0.0,0.0
1763770599,662968693,-2.0876045e-05,2.4174185e-06,2.3853936e-05,0.0,0.0
